t,I_A1,U_B1,cos&j_1,I_A2,U_B2,cos&j_2,P_1,P_2,f
0,0.07725593623,47.38553233,0.2987605322,0.1673701056,46.3262181,-0.001012586934,1.093706638,-0.00785121837,NAN
0,0.1389965809,47.33018594,0.5942941231,0.1993159347,46.08310823,0.4828421105,3.909702966,4.434952002,NAN
0,0.2548629208,47.28306425,0.7652257019,0.2988399262,45.78018899,0.7836647351,9.221505258,10.72127672,NAN
0,0.3610741758,47.22521938,0.8289352405,0.4003288608,45.43632175,0.8750783502,14.13484387,15.91721221,NAN
0,0.464238346,47.18386582,0.8608724595,0.5019073963,45.12160061,0.9177094012,18.85703229,20.78324099,NAN
0,0.6698232868,47.14099338,0.8853805983,0.697167911,44.34274449,0.9556584759,27.95689741,29.54354965,NAN
0,0.8818537136,47.0460061,0.8940351833,0.9043437748,43.61778895,0.9730363447,37.09145917,38.38188169,NAN
0,1.084905695,47.01028336,0.8931069932,1.103638046,42.92242831,0.9814618213,45.5499965,46.49265609,NAN
0,1.281745166,46.9162556,0.8871020903,1.296539177,42.08969729,0.9862899664,53.3456037,53.82277206,NAN
0,1.493557656,46.8550818,0.8768827274,1.503730902,41.03153987,0.9895095182,61.36492508,61.05312758,NAN
0,1.693651375,46.76383854,0.8636590311,1.699451967,39.96733373,0.9915939086,68.40321118,67.35160066,NAN
0,1.893429997,46.83547228,0.8482967463,1.9,38.99538716,0.9930135865,75.22669092,73.57360359,NAN
0,2.101658517,46.75551061,0.8291762633,2.100226224,37.66481635,0.9943106883,81.47827344,78.65458409,NAN
0,2.30338387,46.7780353,0.8084933329,2.295767994,36.32764093,0.9951460433,87.11335529,82.99501616,NAN
0,2.511331517,46.6657847,0.7781198784,2.499603998,34.58697245,0.9954506654,91.190402,86.06042766,NAN
0,2.711031367,46.65738579,0.7510991245,2.699061158,33.0391821,0.9959723972,95.00625517,88.81561256,NAN
0,2.908549116,46.63769328,0.720887008,2.9,31.33804606,0.9963981476,97.78689639,90.55299603,NAN
0,3.117558807,46.65059067,0.6863735472,3.098229273,29.42928932,0.99676587,99.82339562,90.88380194,NAN
0,3.324712527,46.67546564,0.6470962522,3.302736553,27.22764092,0.9970948212,100.4180176,89.66447462,NAN
0,3.526224775,46.70754282,0.6031118084,3.503397579,24.85497888,0.997331313,99.33329567,86.84449192,NAN
0,3.728909876,46.75332161,0.5542468652,3.70436048,22.24016111,0.9976018234,96.62680139,82.18799874,NAN
0,3.932649963,46.72891539,0.4966872089,3.9,19.19960328,0.9978352601,91.27544714,74.71636041,NAN
0,4.023626597,46.76186346,0.4683401242,3.998372642,17.73743353,0.9979560953,88.11926104,70.77591345,NAN
0,4.124490842,46.90710323,0.4388271889,4.097114839,16.25702646,0.9980386347,84.89898247,66.47626386,NAN
0,4.23016192,46.98882608,0.4002940854,4.2,14.29609133,0.9981635773,79.56659255,59.93331819,NAN
0,4.329311719,46.97022894,0.3582159467,4.304568891,12.10179933,0.9983028003,72.84276951,52.00461667,NAN
0,4.42294205,47.0457408,0.3161079182,4.398849887,9.968960631,0.9984353307,65.77592063,43.78334752,NAN
