y_1 x_1 yerr_1 xerr_1 y_2 x_2 yerr_2 xerr_2
0.143 1.118 0.002 0.001 -0.46 9.5 0.002 0.091
0.144 1.13 0.002 0.002 -0.42 8.682 0.002 0.091
0.145 1.147 0.002 0.002 -0.38 7.818 0.002 0.091
0.146 1.165 0.002 0.002 -0.34 7.045 0.002 0.091
0.149 1.191 0.002 0.003 -0.3 6.227 0.002 0.091
0.151 1.227 0.002 0.005 -0.26 5.409 0.002 0.091
0.153 1.275 0.002 0.007 -0.22 4.636 0.002 0.091
0.154 1.338 0.002 0.01 -0.18 3.955 0.002 0.091
0.163 1.468 0.002 0.02 -0.14 3.136 0.002 0.091
0.172 1.71 0.002 0.046 -0.1 2.409 0.002 0.091
