-180 8.95 0 8.93 0.01 1
-175 8.32 5 8.24 0.01 1
-170 7.55 10 7.53 0.01 1
-165 6.77 15 6.78 0.01 1
-160 6.05 20 6.0 0.01 1
-155 5.23 25 5.24 0.01 1
-150 4.55 30 4.52 0.01 1
-145 3.86 35 3.86 0.01 1
-140 3.28 40 3.26 0.01 1
-135 2.79 45 2.79 0.01 1
-130 2.42 50 2.39 0.01 1
-125 2.14 55 2.15 0.01 1
-120 2.02 60 2.02 0.01 1
-115 2.03 65 2.03 0.01 1
-110 2.18 70 2.17 0.01 1
-105 2.45 75 2.47 0.01 1
-100 2.85 80 2.88 0.01 1
-95 3.34 85 3.37 0.01 1
-90 3.95 90 4.02 0.01 1
-85 4.65 95 4.68 0.01 1
-80 5.48 100 5.4 0.01 1
-75 6.14 105 6.21 0.01 1
-70 6.86 110 7.02 0.01 1
-65 7.68 115 7.79 0.01 1
-60 8.39 120 8.43 0.01 1
-55 9.0 125 9.08 0.01 1
-50 9.74 130 9.76 0.01 1
-45 10.11 135 10.2 0.01 1
-40 10.43 140 10.51 0.01 1
-35 10.68 145 10.73 0.01 1
-30 10.78 150 10.76 0.01 1
-25 10.72 155 10.68 0.01 1
-20 10.58 160 10.53 0.01 1
-15 10.2 165 10.17 0.01 1
-10 9.81 170 9.75 0.01 1
-5 9.24 175 9.18 0.01 1
0 8.84 180 8.63 0.01 1
